"Timestamp","Relative importance of [medic]:","Relative effectiveness of [medic]:","Relative importance of [crewman]:","Relative effectiveness of [crewman]:","Relative importance of [optics rifleman]:","Relative effectiveness of [optics rifleman]:","Relative importance of [scout]:","Relative effectiveness of [scout]:","Relative importance of [grenadier]:","Relative effectiveness of [grenadier]:","Relative importance of [marksman]:","Relative effectiveness of [marksman]:","Relative importance of [AR/MG]:","Relative effectiveness of [AR/MG]:","Relative importance of [anti-tank]:","Relative effectiveness of [anti-tank]:","Optional question: Approximately how many hours have you played Squad?"
"2018/10/01 3:37:40 PM EST","6","4","2","3","6","6","3","5","2","2","3","2","2","4","6","6","more than 200 hours"
"2018/10/01 3:38:43 PM EST","6","5","3","2","6","4","6","1","6","4","6","6","6","6","6","6","50 to 100 hours"
"2018/10/01 3:41:32 PM EST","6","6","4","4","3","3","4","4","4","4","3","3","3","3","5","5","more than 200 hours"
"2018/10/01 3:41:37 PM EST","6","6","4","2","4","4","4","4","4","6","3","3","4","3","6","4","more than 200 hours"
"2018/10/01 3:45:29 PM EST","6","5","5","4","5","5","5","6","5","5","4","4","4","4","6","5","100 to 200 hours"
"2018/10/01 3:48:37 PM EST","6","5","2","3","5","5","3","1","2","1","4","4","4","4","6","6","100 to 200 hours"
"2018/10/01 3:52:21 PM EST","5","3","2","2","4","4","6","4","5","2","3","1","4","4","6","3","more than 200 hours"
"2018/10/01 3:52:23 PM EST","5","4","5","5","4","4","3","3","3","3","4","4","3","4","6","5","more than 200 hours"
"2018/10/01 4:01:21 PM EST","5","4","2","2","4","5","5","6","4","4","2","2","4","4","4","4","more than 200 hours"
"2018/10/01 4:02:25 PM EST","6","5","2","2","5","5","4","4","2","2","2","3","5","5","6","6","more than 200 hours"
"2018/10/01 4:03:10 PM EST","6","6","4","2","3","3","6","6","4","3","1","1","2","3","6","5","100 to 200 hours"
"2018/10/01 4:07:37 PM EST","6","4","3","3","5","5","6","6","2","2","2","2","6","6","6","6","more than 200 hours"
"2018/10/01 4:15:44 PM EST","6","4","2","2","5","5","4","4","3","3","3","3","4","4","6","5","more than 200 hours"
"2018/10/01 4:17:18 PM EST","4","4","5","5","6","6","6","6","1","1","1","1","4","4","6","6","more than 200 hours"
"2018/10/01 4:17:42 PM EST","4","4","5","5","6","6","6","6","1","1","1","1","4","4","6","6","more than 200 hours"
"2018/10/01 4:18:06 PM EST","4","4","5","5","6","6","6","6","6","1","1","1","4","4","6","6","more than 200 hours"
"2018/10/01 4:18:25 PM EST","4","4","5","5","6","6","6","6","1","1","1","1","4","4","6","6","more than 200 hours"
"2018/10/01 4:23:25 PM EST","6","4","3","6","3","5","3","5","2","3","3","3","4","4","6","5","more than 200 hours"
"2018/10/01 4:24:32 PM EST","6","6","2","1","4","4","3","3","2","2","1","1","3","3","5","5","100 to 200 hours"
"2018/10/01 4:34:05 PM EST","6","5","4","5","4","4","3","4","5","3","4","3","5","4","5","5","more than 200 hours"
"2018/10/01 4:38:57 PM EST","6","5","3","3","5","6","3","4","2","3","4","5","3","3","5","4","100 to 200 hours"
"2018/10/01 4:47:04 PM EST","6","6","4","4","4","5","4","4","4","5","1","4","6","6","6","6","less than 50 hours"
"2018/10/01 4:49:05 PM EST","6","6","4","4","5","6","4","6","4","5","4","6","5","6","6","6","more than 200 hours"
"2018/10/01 4:58:33 PM EST","6","5","2","3","6","6","6","6","4","3","4","4","5","5","6","6","more than 200 hours"
"2018/10/01 5:00:01 PM EST","4","2","3","3","3","3","2","4","5","3","3","3","1","1","5","5","more than 200 hours"
"2018/10/01 5:04:40 PM EST","6","6","2","4","3","5","4","2","3","3","3","4","4","4","6","5","50 to 100 hours"
"2018/10/01 5:27:31 PM EST","6","4","1","6","2","4","5","6","3","3","1","4","4","5","6","3","more than 200 hours"
"2018/10/01 5:54:31 PM EST","6","6","5","2","4","5","4","4","4","4","3","3","5","3","6","5","more than 200 hours"
"2018/10/01 5:56:30 PM EST","4","5","3","5","4","5","3","4","2","3","4","5","4","6","5","3","more than 200 hours"
"2018/10/01 5:57:25 PM EST","4","5","2","2","4","5","6","6","3","2","2","3","4","4","6","5","more than 200 hours"
"2018/10/01 6:02:58 PM EST","6","6","2","4","2","3","3","3","3","3","2","3","4","3","5","5","more than 200 hours"
"2018/10/01 6:07:51 PM EST","5","5","3","4","3","3","2","2","4","4","2","5","5","6","6","5","more than 200 hours"
"2018/10/01 6:12:32 PM EST","6","2","3","3","6","6","1","2","2","2","2","2","3","3","6","4","more than 200 hours"
"2018/10/01 6:15:15 PM EST","6","4","4","4","4","4","4","4","3","3","3","2","4","3","5","4","more than 200 hours"
"2018/10/01 6:15:42 PM EST","6","4","2","3","6","6","2","3","3","3","1","1","2","2","6","6","more than 200 hours"
"2018/10/01 6:24:02 PM EST","6","5","1","3","5","6","3","5","2","4","1","3","4","4","6","6","more than 200 hours"
"2018/10/01 6:33:00 PM EST","6","4","2","3","6","3","6","5","5","4","5","3","5","3","6","5","more than 200 hours"
"2018/10/01 7:04:37 PM EST","5","4","2","2","3","3","6","6","4","4","1","1","5","5","6","6","more than 200 hours"
"2018/10/01 7:08:51 PM EST","5","5","3","6","3","3","4","5","3","6","3","4","2","5","6","5","more than 200 hours"
"2018/10/01 7:09:46 PM EST","6","5","2","3","3","3","3","3","3","3","1","1","5","4","5","5","more than 200 hours"
"2018/10/01 7:11:22 PM EST","6","6","5","5","6","6","3","3","3","3","2","4","4","4","6","5","50 to 100 hours"
"2018/10/01 7:11:29 PM EST","6","6","3","3","5","5","6","6","3","2","1","2","4","4","6","6","more than 200 hours"
"2018/10/01 7:18:49 PM EST","6","5","3","3","5","5","2","2","4","4","2","2","3","3","6","5","more than 200 hours"
"2018/10/01 7:18:59 PM EST","6","5","3","3","5","5","2","2","4","4","2","2","3","3","6","5","more than 200 hours"
"2018/10/01 7:31:40 PM EST","6","5","4","2","4","2","4","2","5","4","4","3","5","6","6","4","100 to 200 hours"
"2018/10/01 7:41:19 PM EST","6","5","2","3","2","3","3","3","3","4","3","3","2","3","5","4","more than 200 hours"
"2018/10/01 8:08:30 PM EST","6","6","1","6","1","4","6","6","4","4","3","6","6","6","6","6","more than 200 hours"
"2018/10/01 8:09:15 PM EST","6","4","4","3","6","6","6","6","6","6","2","4","6","6","6","6","100 to 200 hours"
"2018/10/01 8:14:05 PM EST","6","5","3","5","5","5","3","3","2","3","2","3","4","6","6","3","100 to 200 hours"
"2018/10/01 8:19:37 PM EST","5","4","2","4","3","5","3","3","2","4","2","3","3","3","5","3","100 to 200 hours"
"2018/10/01 8:25:39 PM EST","5","3","5","3","2","2","4","2","4","2","2","1","6","4","6","3","more than 200 hours"
"2018/10/01 8:34:09 PM EST","6","5","3","3","4","3","5","5","3","3","2","2","5","5","6","4","more than 200 hours"
"2018/10/01 8:39:00 PM EST","6","5","3","2","4","5","5","1","3","4","1","1","5","2","6","5","more than 200 hours"
"2018/10/01 8:46:48 PM EST","6","5","3","2","5","6","4","5","3","5","3","3","4","5","6","5","more than 200 hours"
"2018/10/01 8:47:59 PM EST","6","4","3","3","5","4","5","4","4","4","3","3","5","4","6","5","more than 200 hours"
"2018/10/01 8:53:44 PM EST","6","5","3","3","4","4","2","3","5","3","1","2","5","5","6","6","more than 200 hours"
"2018/10/01 8:58:48 PM EST","5","5","3","5","3","5","2","6","4","5","2","3","4","4","5","5","50 to 100 hours"
"2018/10/01 9:05:16 PM EST","6","6","3","5","5","5","4","6","4","4","1","2","4","5","5","6","more than 200 hours"
"2018/10/01 9:09:16 PM EST","5","4","2","2","4","3","3","5","4","4","2","1","4","5","6","6","more than 200 hours"
"2018/10/01 9:25:54 PM EST","6","6","1","1","6","6","6","6","3","3","2","2","5","5","6","6","more than 200 hours"
"2018/10/01 10:24:15 PM EST","6","6","2","5","2","4","3","3","2","4","2","4","3","5","4","5","more than 200 hours"
"2018/10/01 10:28:51 PM EST","6","4","3","2","6","6","6","6","2","4","2","3","4","5","6","6","more than 200 hours"
"2018/10/01 10:35:23 PM EST","6","6","4","4","5","6","3","5","2","3","3","4","5","5","6","5","50 to 100 hours"
"2018/10/01 10:52:24 PM EST","6","5","4","4","5","6","3","6","4","5","2","3","6","6","6","6","more than 200 hours"
"2018/10/01 10:53:20 PM EST","6","5","4","5","6","6","4","4","5","5","5","4","5","5","6","5","more than 200 hours"
"2018/10/01 10:57:17 PM EST","5","6","4","5","4","4","1","4","3","4","4","5","5","6","6","5","more than 200 hours"
"2018/10/01 11:18:59 PM EST","6","4","6","6","6","6","4","4","6","6","3","3","6","2","6","2","50 to 100 hours"
"2018/10/02 12:02:51 AM EST","6","6","3","3","5","5","2","2","5","5","1","1","6","6","6","6","more than 200 hours"
"2018/10/02 12:04:40 AM EST","5","5","1","1","4","3","3","3","3","3","2","3","4","3","5","4","more than 200 hours"
"2018/10/02 12:24:24 AM EST","6","6","3","4","5","6","4","4","3","4","2","3","4","5","6","6","more than 200 hours"
"2018/10/02 12:26:44 AM EST","6","5","2","2","4","5","2","5","4","4","2","2","4","5","6","6","more than 200 hours"
"2018/10/02 12:44:38 AM EST","6","6","3","3","5","5","2","2","4","3","3","2","4","4","5","5","more than 200 hours"
"2018/10/02 1:01:02 AM EST","6","5","5","4","5","5","2","3","4","5","3","3","5","4","6","5","50 to 100 hours"
"2018/10/02 1:28:06 AM EST","4","4","5","5","3","5","6","6","3","4","6","2","5","5","6","4","more than 200 hours"
"2018/10/02 1:29:00 AM EST","6","5","3","5","4","4","2","5","5","5","1","2","4","4","6","6","more than 200 hours"
"2018/10/02 1:31:40 AM EST","6","6","3","3","5","6","4","4","4","4","3","3","4","4","5","5","more than 200 hours"
"2018/10/02 1:35:21 AM EST","6","4","4","4","3","5","3","4","3","2","1","3","3","4","6","4","more than 200 hours"
"2018/10/02 2:00:31 AM EST","6","5","5","5","5","5","6","6","6","6","4","5","5","5","6","6","100 to 200 hours"
"2018/10/02 2:24:47 AM EST","6","6","3","4","6","6","4","6","5","4","1","5","3","6","6","6","more than 200 hours"
"2018/10/02 2:25:26 AM EST","6","6","3","4","3","4","5","5","4","5","2","2","3","3","5","5","more than 200 hours"
"2018/10/02 2:42:33 AM EST","6","6","3","3","5","5","3","3","3","3","4","4","5","5","6","6","more than 200 hours"
"2018/10/02 2:53:43 AM EST","6","5","3","4","3","5","6","4","4","5","1","3","5","5","6","6","more than 200 hours"
"2018/10/02 3:15:00 AM EST","3","5","5","4","4","5","3","6","2","3","2","4","5","4","6","6","more than 200 hours"
"2018/10/02 3:24:34 AM EST","6","4","4","6","2","4","3","4","3","4","4","5","3","4","5","4","more than 200 hours"
"2018/10/02 3:27:12 AM EST","6","5","2","5","6","6","4","4","2","1","6","6","4","3","5","6","more than 200 hours"
"2018/10/02 3:35:32 AM EST","6","4","2","1","3","5","2","4","2","5","2","3","4","4","4","6","more than 200 hours"
"2018/10/02 3:56:56 AM EST","6","6","6","4","3","5","2","4","4","5","1","3","2","5","6","6","more than 200 hours"
"2018/10/02 4:00:29 AM EST","6","5","1","2","5","5","4","3","2","3","3","2","5","5","6","4","more than 200 hours"
"2018/10/02 4:33:17 AM EST","6","6","2","3","4","4","5","6","4","4","2","2","4","4","5","5","more than 200 hours"
"2018/10/02 5:40:20 AM EST","5","3","2","2","6","6","3","4","3","4","3","5","4","5","5","4","more than 200 hours"
"2018/10/02 5:44:43 AM EST","5","5","4","4","3","5","3","3","4","4","3","3","3","5","5","4","50 to 100 hours"
"2018/10/02 5:46:43 AM EST","5","3","1","1","1","3","1","3","1","4","1","1","2","2","6","2","more than 200 hours"
"2018/10/02 5:52:03 AM EST","4","5","5","2","5","6","6","6","5","5","2","4","4","5","6","4","more than 200 hours"
"2018/10/02 6:20:58 AM EST","6","6","2","3","6","6","3","4","2","2","1","2","1","3","6","6","more than 200 hours"
"2018/10/02 7:11:23 AM EST","6","6","2","1","4","4","3","5","5","3","2","1","5","3","5","5","more than 200 hours"
"2018/10/02 7:31:43 AM EST","6","6","4","4","3","3","3","3","2","2","4","4","3","3","5","5","more than 200 hours"
"2018/10/02 8:12:46 AM EST","6","6","4","6","4","6","4","6","5","6","1","1","6","6","6","6","more than 200 hours"
"2018/10/02 8:48:35 AM EST","6","6","1","1","4","4","2","2","4","4","2","2","4","4","5","5","more than 200 hours"
"2018/10/02 9:31:43 AM EST","6","5","3","5","4","4","6","2","6","3","5","1","6","3","6","5","more than 200 hours"
"2018/10/02 10:24:13 AM EST","6","6","2","2","5","6","6","6","5","5","1","1","6","6","6","6","more than 200 hours"
"2018/10/02 10:39:24 AM EST","6","6","2","2","1","2","4","6","3","4","1","1","4","4","6","6","more than 200 hours"
"2018/10/02 11:13:39 AM EST","6","5","4","6","4","6","4","6","3","4","5","2","5","4","6","6","more than 200 hours"
"2018/10/02 12:59:50 PM EST","6","6","5","2","4","3","4","6","3","3","1","1","3","6","6","5","more than 200 hours"
"2018/10/02 1:52:25 PM EST","5","5","4","4","2","3","4","5","1","3","1","2","4","4","6","5","more than 200 hours"
"2018/10/02 4:30:46 PM EST","6","5","5","5","3","4","2","4","3","4","1","2","2","3","6","6","more than 200 hours"
"2018/10/02 4:35:41 PM EST","6","6","3","3","6","6","3","5","2","2","1","1","1","1","4","4","more than 200 hours"
"2018/10/02 4:55:36 PM EST","5","4","3","3","2","2","4","5","5","6","2","1","3","3","6","5","more than 200 hours"
"2018/10/02 5:51:26 PM EST","6","5","3","6","5","5","3","5","3","3","1","2","5","4","6","6","more than 200 hours"
"2018/10/02 6:07:45 PM EST","1","1","1","1","1","1","1","1","1","1","6","6","1","1","1","1","less than 50 hours"
